nome;preco;wlink
Calça Estampada Lenço Tear;R$ 429,00;https://www.farmrio.com.br/calca-estampada-lenco-tear-est-lenco-tear_multicolorido--302741-17629/p
Bata Estampada Noite Mística;R$ 398,00;https://www.farmrio.com.br/bata-estampada-noite-mistica-est-noite-mistica_rosa-fucsia---303258-17630/p
T-Shirt Artesanal Box Paparico;R$ 249,00;https://www.farmrio.com.br/t-shirt-artesanal-box-paparico-rosa-fucsia-303630-02379/p
T-Shirt Artesanal Cropped Ninho;R$ 249,00;https://www.farmrio.com.br/t-shirt-artesanal-cropped-ninho-verde-floresta-303629-02380/p
T-Shirt Artesanal Média Coração Quentinho;R$ 269,00;https://www.farmrio.com.br/t-shirt-artesanal-media-coracao-quentinho-off-white-303631-0024/p
Saia Estampada Tear Tropical;R$ 329,00;https://www.farmrio.com.br/saia-estampada-tear-tropical-est-tear-tropical-_rosa-queimado---302727-17672/p
Kimono Estampado Tear Tropical;R$ 349,00;https://www.farmrio.com.br/kimono-estampado-tear-tropical-est-tear-tropical-_rosa-queimado---302725-17672/p
Vestido Curto Com Manga Tear Tropical;R$ 329,00;https://www.farmrio.com.br/vestido-curto-com-manga-tear-tropical-est-tear-tropical-_rosa-queimado---302722-17672/p
Blusa Golinha Estampada Magia De Banana Listra;R$ 179,00;https://www.farmrio.com.br/blusa-golinha-estampada-magia-de-banana-listra-est-magia-de-banana_listra-302486-17758/p
Calça Flare Estampada Magia De Banana Listra;R$ 279,00;https://www.farmrio.com.br/calca-flare-estampada-magia-de-banana-listra-est-magia-de-banana_listra-302484-17758/p
Blazer Pesponto Longo;R$ 329,00;https://www.farmrio.com.br/blazer-pesponto-longo-lilas-poente-301029-02316/p
